series_id,model_id,asset_code,asset_subtype,asset_type,benchmark,benchmark_code,category_code,country,country_code,dm_em,description,frequency,geography,investor_category,investor_origin,investor_subtype,investor_type,key,lag,name,origin_code,region,sector,start_date,subtype_code,type_code,update_time
EUFXFUTUEC1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,ec1 curncy,EC1,INS,Mixed,EU,DM,Non Commercial investor positioning in Euro FX futures,Weekly,EMEA,Institutional,Mixed,Mixed,Speculative,EMEA/Europe/DM/Mixed/FX/Futures/Mixed/Institutional/Speculative/Mixed/EUFXFUTUEC1MIXINSSPEMIX.csv,7,Non-commercial inv. Euro FX ,MIX,Europe,,06/09/2006,MIX,SPE,07:00:00
USEQFUTUNQ1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,nq1 index,NQ1,INS,US,US,DM,Non Commercial investor positioning in Nasdaq 100 E-mini futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUNQ1MIXINSSPEMIX.csv,7,Non-commercial inv. Nasdaq 100 E-mini ,MIX,,,06/09/2006,MIX,SPE,07:00:00
USEQFUTUDM1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,dm1 index,DM1,INS,US,US,DM,Non Commercial investor positioning in DIJA Mini  futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUDM1MIXINSSPEMIX.csv,7,Non-commercial inv. DIJA Mini  ,MIX,,,06/09/2006,MIX,SPE,07:00:00
USEQFUTURTYMIXINSSPEMIX,CFTC,FUTU,Futures,EQ,rty1 index,RTY,INS,US,US,DM,Non Commercial investor positioning in Russell 2000 E-mini futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTURTYMIXINSSPEMIX.csv,7,Non-commercial inv. Russell 2000 E-mini ,MIX,,,17/08/2017,MIX,SPE,07:00:00
USEQFUTUFA1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,fa1 index,FA1,INS,US,US,DM,Non Commercial investor positioning in S&P Mid 400 E-mini futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUFA1MIXINSSPEMIX.csv,7,Non-commercial inv. S&P Mid 400 E-mini ,MIX,,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUPL1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,pl1 comdty,PL1,INS,Global,GL,DM,Non Commercial investor positioning in Platinum futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUPL1MIXINSSPEMIX.csv,7,Non-commercial inv. Platinum ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
USFIFUTUFV1MIXINSSPEMIX,CFTC,FUTU,Futures,FI,fv1 comdty,FV1,INS,US,US,DM,Non Commercial investor positioning in US 5Y futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Speculative/Mixed/USFIFUTUFV1MIXINSSPEMIX.csv,7,Non-commercial inv. US 5Y ,MIX,,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUSM1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,sm1 comdty,SM1,INS,Global,GL,DM,Non Commercial investor positioning in Soybean Meal futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUSM1MIXINSSPEMIX.csv,7,Non-commercial inv. Soybean Meal ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUBO1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,bo1 comdty,BO1,INS,Global,GL,DM,Non Commercial investor positioning in Soybean Oil futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUBO1MIXINSSPEMIX.csv,7,Non-commercial inv. Soybean Oil ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
GBFXFUTUBP1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,bp1 curncy,BP1,INS,UK,GB,DM,Non Commercial investor positioning in GBP futures,Weekly,EMEA,Institutional,Mixed,Mixed,Speculative,EMEA/Europe/DM/UK/FX/Futures/Mixed/Institutional/Speculative/Mixed/GBFXFUTUBP1MIXINSSPEMIX.csv,7,Non-commercial inv. GBP ,MIX,Europe,,06/09/2006,MIX,SPE,07:00:00
AUFXFUTUAD1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,ad1 curncy,AD1,INS,Australia,AU,DM,Non Commercial investor positioning in AUDUSD futures,Weekly,APAC,Institutional,Mixed,Mixed,Speculative,APAC/Oceania/DM/Australia/FX/Futures/Mixed/Institutional/Speculative/Mixed/AUFXFUTUAD1MIXINSSPEMIX.csv,7,Non-commercial inv. AUDUSD ,MIX,Oceania,,06/09/2006,MIX,SPE,07:00:00
